video,variant,output_file,center_jerk_p95,height_jerk_p95,crop_size_cv,chatter_pct,low_conf_pct,conv_width_pct,regions,dominant_symptom,center_offset_p95,edge_touch_count,bad_frame_pct,bad_center_pct,bad_edge_pct,bad_zoom_pct,bad_run_max,zoom_trans_blocks,trans_pct,settle_pct,normal_pct,crop_h_var,torso_pos_median,torso_pos_p95,torso_upper_frac,encode_time_s
canon_60d_600m_zoom.MP4,A_baseline_dc,canon_60d_600m_zoom_A_baseline_dc.mkv,3.606,4.0,0.0966,6.5,19.1,2.37,32,lateral_jitter_dominated,0.0521,2,0.1,0.0,0.1,0.0,3,40,3.8,49.0,47.2,1129.9,0.499,0.531,0.3,12.0
canon_60d_600m_zoom.MP4,B_torso_38,canon_60d_600m_zoom_B_torso_38.mkv,3.808,4.0,0.0966,5.7,19.1,2.37,35,lateral_jitter_dominated,0.1629,12,0.5,0.0,0.5,0.0,12,40,3.8,49.0,47.2,1129.9,0.379,0.417,96.4,12.0
canon_60d_600m_zoom.MP4,C_zoom_stabilized,canon_60d_600m_zoom_C_zoom_stabilized.mkv,3.64,1.0,0.0755,6.8,19.1,2.37,32,lateral_jitter_dominated,0.0524,3,0.2,0.0,0.2,0.0,4,40,3.8,49.0,47.2,675.5,0.499,0.531,0.2,12.0
canon_60d_600m_zoom.MP4,D_zoom_stabilized_torso_38,canon_60d_600m_zoom_D_zoom_stabilized_torso_38.mkv,3.808,1.0,0.0755,6.8,19.1,2.37,35,lateral_jitter_dominated,0.1671,14,0.6,0.0,0.6,0.0,12,40,3.8,49.0,47.2,675.5,0.378,0.416,96.1,12.0
Hononega-Orion_600m-IMG_3702.mkv,A_baseline_dc,Hononega-Orion_600m-IMG_3702_A_baseline_dc.mkv,4.031,5.0,0.324,17.9,27.9,10.01,70,lateral_jitter_dominated,0.0356,0,0.0,0.0,0.0,0.0,0,42,3.7,21.7,74.6,33458.3,0.5,0.513,0.1,61.0
Hononega-Orion_600m-IMG_3702.mkv,B_torso_38,Hononega-Orion_600m-IMG_3702_B_torso_38.mkv,4.272,5.0,0.324,16.4,27.9,10.01,79,lateral_jitter_dominated,0.1739,37,2.3,0.0,2.3,0.0,42,42,3.7,21.7,74.6,33458.3,0.379,0.418,95.8,61.0
Hononega-Orion_600m-IMG_3702.mkv,C_zoom_stabilized,Hononega-Orion_600m-IMG_3702_C_zoom_stabilized.mkv,4.031,1.0,0.3248,17.1,27.9,11.33,80,lateral_jitter_dominated,0.0393,13,0.6,0.0,0.6,0.0,16,42,3.7,21.7,74.6,28604.1,0.5,0.516,0.1,53.0
Hononega-Orion_600m-IMG_3702.mkv,D_zoom_stabilized_torso_38,Hononega-Orion_600m-IMG_3702_D_zoom_stabilized_torso_38.mkv,5.0,1.0,0.3248,16.3,27.9,11.33,87,lateral_jitter_dominated,0.1995,264,9.1,0.0,9.1,0.0,144,42,3.7,21.7,74.6,28604.1,0.376,0.42,94.9,53.0
Hononega-Varsity_4x400m-IMG_3707.mkv,A_baseline_dc,Hononega-Varsity_4x400m-IMG_3707_A_baseline_dc.mkv,8.139,4.0,0.3065,17.2,35.0,24.02,254,lateral_jitter_dominated,0.0727,0,0.0,0.0,0.0,0.0,0,133,3.0,28.8,68.2,26683.4,0.5,0.515,0.1,147.0
Hononega-Varsity_4x400m-IMG_3707.mkv,B_torso_38,Hononega-Varsity_4x400m-IMG_3707_B_torso_38.mkv,8.139,4.0,0.3065,16.3,35.0,24.02,251,lateral_jitter_dominated,0.1844,21,1.7,0.0,1.7,0.0,42,133,3.0,28.8,68.2,26683.4,0.38,0.42,94.8,148.0
