video,variant,output_file,center_jerk_p95,height_jerk_p95,crop_size_cv,chatter_pct,low_conf_pct,conv_width_pct,regions,dominant_symptom,center_offset_p95,edge_touch_count,bad_frame_pct,bad_center_pct,bad_edge_pct,bad_zoom_pct,bad_run_max,zoom_trans_blocks,trans_pct,settle_pct,normal_pct,crop_h_var,torso_pos_median,torso_pos_p95,torso_upper_frac,encode_time_s
canon_60d_600m_zoom.MP4,A_baseline_dc,canon_60d_600m_zoom_A_baseline_dc.mkv,3.606,4.0,0.0966,6.5,19.1,2.37,32,lateral_jitter_dominated,0.0521,2,0.1,0.0,0.1,0.0,3,40,3.8,49.0,47.2,1129.9,0.499,0.531,0.3,13.0
canon_60d_600m_zoom.MP4,B_size_smooth,canon_60d_600m_zoom_B_size_smooth.mkv,3.64,1.0,0.0966,8.0,19.1,2.34,32,lateral_jitter_dominated,0.0505,0,0.0,0.0,0.0,0.0,0,40,3.8,49.0,47.2,1157.0,0.499,0.531,0.2,12.0
canon_60d_600m_zoom.MP4,C_zoom_stab,canon_60d_600m_zoom_C_zoom_stab.mkv,3.64,1.0,0.0755,6.8,19.1,2.37,32,lateral_jitter_dominated,0.0524,3,0.2,0.0,0.2,0.0,4,40,3.8,49.0,47.2,675.5,0.499,0.531,0.2,12.0
canon_60d_600m_zoom.MP4,D_smooth_zoom,canon_60d_600m_zoom_D_smooth_zoom.mkv,3.808,1.0,0.083,8.6,19.1,2.31,29,lateral_jitter_dominated,0.0504,1,0.1,0.0,0.1,0.0,3,40,3.8,49.0,47.2,860.8,0.499,0.53,0.3,13.0
Hononega-Orion_600m-IMG_3702.mkv,A_baseline_dc,Hononega-Orion_600m-IMG_3702_A_baseline_dc.mkv,4.031,5.0,0.324,17.9,27.9,10.01,70,lateral_jitter_dominated,0.0356,0,0.0,0.0,0.0,0.0,0,42,3.7,21.7,74.6,33458.3,0.5,0.513,0.1,65.0
Hononega-Orion_600m-IMG_3702.mkv,B_size_smooth,Hononega-Orion_600m-IMG_3702_B_size_smooth.mkv,4.031,1.0,0.3241,18.0,27.9,9.8,72,lateral_jitter_dominated,0.0331,0,0.0,0.0,0.0,0.0,0,42,3.7,21.7,74.6,34946.9,0.5,0.513,0.0,67.0
Hononega-Orion_600m-IMG_3702.mkv,C_zoom_stab,Hononega-Orion_600m-IMG_3702_C_zoom_stab.mkv,4.031,1.0,0.3248,17.1,27.9,11.33,80,lateral_jitter_dominated,0.0393,13,0.6,0.0,0.6,0.0,16,42,3.7,21.7,74.6,28604.1,0.5,0.516,0.1,58.0
Hononega-Orion_600m-IMG_3702.mkv,D_smooth_zoom,Hononega-Orion_600m-IMG_3702_D_smooth_zoom.mkv,4.031,1.0,0.3112,16.9,27.9,11.01,81,lateral_jitter_dominated,0.0378,2,0.5,0.0,0.5,0.0,13,42,3.7,21.7,74.6,27108.2,0.5,0.515,0.1,59.0
Hononega-Varsity_4x400m-IMG_3707.mkv,A_baseline_dc,Hononega-Varsity_4x400m-IMG_3707_A_baseline_dc.mkv,8.139,4.0,0.3065,17.2,35.0,24.02,254,lateral_jitter_dominated,0.0727,0,0.0,0.0,0.0,0.0,0,133,3.0,28.8,68.2,26683.4,0.5,0.515,0.1,158.0
Hononega-Varsity_4x400m-IMG_3707.mkv,B_size_smooth,Hononega-Varsity_4x400m-IMG_3707_B_size_smooth.mkv,8.246,1.0,0.321,17.7,35.0,23.65,267,lateral_jitter_dominated,0.0703,0,0.0,0.0,0.0,0.0,0,133,3.0,28.8,68.2,30758.1,0.5,0.514,0.1,163.0
Hononega-Varsity_4x400m-IMG_3707.mkv,C_zoom_stab,Hononega-Varsity_4x400m-IMG_3707_C_zoom_stab.mkv,8.062,1.0,0.28,16.9,35.0,26.07,276,lateral_jitter_dominated,0.0807,13,0.1,0.0,0.1,0.0,14,133,3.0,28.8,68.2,19607.3,0.5,0.516,0.2,156.0
Hononega-Varsity_4x400m-IMG_3707.mkv,D_smooth_zoom,Hononega-Varsity_4x400m-IMG_3707_D_smooth_zoom.mkv,8.139,1.0,0.2872,16.2,35.0,25.11,266,lateral_jitter_dominated,0.0759,6,0.1,0.0,0.1,0.0,6,133,3.0,28.8,68.2,22136.6,0.5,0.515,0.1,160.0
